squareMeters,numberOfRooms,floors,numPrevOwners,basement,attic,garage,price
93876,60,70,1,4086,5991,494,9390891.9
67040,60,22,8,4817,5222,927,6714247.3
47938,17,68,1,327,209,352,4797883.3
39090,57,74,9,3572,8722,811,3917691
43609,66,55,9,3388,2353,120,4364910.5
41998,74,17,1,6838,4925,828,4203344
36496,9,47,1,2768,6291,230,3656368.7
84016,15,55,7,3284,9879,641,8410054.6
3087,27,94,10,5866,3557,199,321717.5
89768,48,17,9,2485,108,864,8980518.3
30226,74,87,9,515,13,223,3039243.7
58478,5,35,10,8366,4799,979,5853710.6
66621,48,89,1,5024,8103,388,6666403.5
73314,43,38,1,3281,5020,968,7336538.8
59972,28,18,8,8384,7226,226,6000826.1
71591,20,58,4,6486,3310,366,7165980.8
92462,52,46,6,9584,8587,677,9257840.9
52325,60,24,5,8987,3149,808,5238533.2
67311,67,10,3,6928,7808,774,6732249
45050,99,87,8,5218,8217,144,4508695.3
61534,73,97,5,9265,8974,755,6159875.1
84091,50,72,5,2668,4669,766,8414104.3
77579,69,97,1,4850,5648,144,7767797.9
25204,31,37,10,6560,4287,116,2530488
42059,46,62,3,8827,1853,860,4212125.7
38430,43,51,4,1214,606,289,3846214.1
7069,4,89,2,7499,8969,493,709107.9
34780,75,9,5,3033,6475,800,3480536.9
12757,100,7,8,6795,9983,738,1277834
33749,74,38,7,1729,7952,616,3380855.9
600,37,43,7,6738,5603,866,63402.1
7239,61,83,7,7782,2518,986,733776.4
34919,20,84,1,6566,628,408,3499532.7
25614,29,27,1,700,377,519,2563970.4
51434,64,23,2,2080,9575,753,5146226.2
78960,55,76,4,7126,5012,974,7900996.5
70751,64,41,9,1506,590,794,7084110.6
81870,60,100,8,3632,5960,723,8198185
91559,36,21,2,788,4788,132,9161130.7
72098,9,67,3,9080,9356,740,7216904.4
23177,19,52,1,2706,4593,648,2318776.3
39517,92,85,6,7618,1172,810,3953491.9
55232,23,8,3,1492,5697,625,5524015.1
53735,49,92,7,8654,9588,290,5384554.6
67753,72,78,9,7480,2068,929,6789580.5
1450,59,1,9,1285,8119,869,146181.8
82141,93,61,7,8785,6602,968,8225970.9
17868,73,35,9,1718,5498,710,1792308.3
71397,71,93,10,3477,5530,342,7145471.5
32623,35,14,6,4633,7551,126,3267852.3
23841,71,25,7,7590,5224,564,2390804
16495,94,6,10,2214,1464,929,1650711.1
39109,24,67,3,1642,2925,139,3917652.2
65151,81,3,9,3218,9119,849,6522781.1
61484,91,94,8,5486,3641,766,6154833.3
57160,15,43,8,4018,4871,836,5724102.2
13346,57,57,8,2525,545,809,1336414.1
27351,77,36,1,1150,3100,812,2738851.7
18466,50,60,2,2475,1376,568,1849227
45441,29,66,5,8121,2996,853,4552319.4
55933,15,97,8,7369,6739,686,5599976.1
81936,68,92,1,6393,9082,734,8198107.1
18237,70,74,6,7173,9144,498,1833338.1
35631,54,7,6,216,1339,775,3568002.8
99683,12,77,8,4034,2877,787,9977000.2
47664,44,77,3,2662,5433,417,4770073
62887,45,7,3,292,744,675,6293710.3
18470,20,73,1,4089,9245,905,1852115
36031,63,47,8,9701,1325,514,3612495.1
22776,84,5,9,2422,1918,544,2278599.3
14830,81,1,10,6151,1651,243,1487488.2
43944,40,69,5,7466,6556,735,4403326.2
73062,34,38,8,9823,7174,728,7313447.6
84284,76,39,1,4500,4877,480,8432554.8
9619,66,91,5,1069,3823,927,969806.1
11410,96,96,3,1466,3642,933,1150663.9
29855,63,23,5,3861,7495,204,2987645
46716,94,58,5,1361,6855,409,4674140.8
77046,69,85,2,8135,1401,648,7714235.2
58855,1,66,7,2267,3070,531,5892518.4
69165,66,74,4,1543,9736,939,6926290.9
57915,25,84,4,3394,4287,640,5800324.7
66279,47,9,2,5079,3156,128,6631365.3
16068,21,13,8,8893,2564,463,1611707.1
74325,50,58,10,4008,1952,275,7443433.4
35742,46,47,1,1732,6019,243,3581003.4
9026,51,28,5,779,9037,482,904797
16899,19,14,4,5710,907,302,1693690
99854,82,64,8,4827,2626,918,9989598.9
33743,56,29,8,7330,3012,345,3382812.6
72798,22,30,3,2209,2120,637,7290431.7
86492,21,86,7,7843,5348,463,8654049.2
38937,35,77,6,1312,1272,794,3901433.3
24762,22,62,10,5264,3986,502,2480900.9
91047,45,65,2,7241,1060,757,9109264.9
55527,64,44,2,9385,9507,786,5557814.5
70606,17,79,3,4927,1285,197,7070662.7
67327,47,87,3,1097,8551,964,6741466
6125,90,29,2,6423,7934,846,615143.2
71833,37,51,5,3772,2045,580,7185318.3
20811,98,71,4,112,53,586,2090690.5
7643,98,63,3,2142,7748,983,765618.9
16669,95,81,3,6109,1409,239,1676719.7
84006,73,97,7,9698,6310,837,8409827
34059,49,90,8,4138,5337,347,3412619.3
36131,95,88,8,1046,8463,331,3620939.1
8201,18,66,2,4949,5811,185,826967.7
38398,84,22,8,1618,9458,404,3842545.4
38833,10,14,3,1828,7626,462,3884619.4
41488,22,59,1,2090,4438,650,4151539.3
5205,2,15,3,8342,4705,742,521650.5
45066,28,62,5,7092,6757,924,4508367.3
63875,53,14,3,4139,7178,152,6394774.9
25052,88,94,6,718,6346,703,2515214
51457,64,32,10,3016,1891,633,5150600.6
84396,64,96,7,7416,6190,593,8449333.5
64920,98,63,8,2287,8181,426,6501809.6
9166,4,16,1,6838,9438,842,922847.5
85558,48,83,9,7997,655,374,8568781.7
87267,75,81,10,6899,1628,666,8731940.9
96091,100,24,3,6546,4094,373,9615021.9
38003,98,6,10,9981,6500,129,3803545.8
83120,97,68,6,15,4581,481,8318749.5
20468,100,34,4,9659,6233,802,2049846.3
75152,91,37,3,4717,5685,412,7518709.8
32688,9,18,5,9089,6967,398,3274057.3
45868,72,69,7,7668,9908,216,4600708.4
73900,69,36,3,9847,6227,140,7394635.8
16000,41,25,4,7228,764,138,1606948.7
1423,59,30,4,3900,1985,879,149234.3
29951,37,13,8,5692,9582,762,3002371.5
40231,84,41,5,5700,303,758,4030226.9
59517,38,69,8,6831,2741,727,5958698.3
98969,26,69,8,3744,5809,992,9902968.3
99177,49,41,10,6326,6738,429,9919217.1
89157,46,42,6,3510,781,290,8920282.9
67429,60,24,7,3578,3600,858,6749654.1
38431,57,60,3,4121,3307,374,3848467
72495,76,59,10,3413,2245,254,7259025.4
85362,77,19,5,7728,8516,186,8541211.7
28597,93,47,9,4492,270,714,2863386
13687,36,93,5,4148,6383,590,1376329.1
50479,3,73,9,4149,6785,188,5057657
98121,38,57,4,6028,8690,275,9817494.5
57736,16,21,6,6099,1511,588,5775940.9
30356,40,85,1,7660,774,551,3039209.2
21141,38,80,3,169,8853,697,2126023.8
98122,34,7,4,7125,7272,186,9813433.9
34746,12,15,5,2840,3137,377,3478332
17297,43,19,5,3216,5586,243,1738971.2
80324,47,7,2,325,3203,109,8039714.3
15815,13,2,1,637,7880,552,1585031.9
1066,5,46,9,2723,9228,524,114605.7
79275,95,67,9,3689,7215,132,7930383.5
20658,7,48,10,8080,9560,341,2076936.7
8687,88,64,6,7414,6075,710,877525.3
69638,42,63,2,4703,7032,937,6977654.1
94036,18,19,9,5913,178,986,9406163.1
60889,72,87,8,7437,4833,131,6091341.8
11680,21,14,1,7478,6846,921,1169431.2
11458,96,31,5,1365,3757,321,1154040
20397,67,79,7,705,4914,898,2042985.7
83206,34,51,9,9170,9694,327,8326302.9
8951,11,63,10,6189,2892,626,904889.7
22854,41,89,7,6216,521,481,2292467.1
46042,52,74,8,65,9506,946,4605791.5
93506,20,28,9,5297,1410,306,9356982.7
58748,76,40,5,1627,996,639,5875981
715,71,23,3,8609,3736,740,74252
55327,22,59,2,7163,9333,504,5540589.3
63631,84,12,10,239,1952,411,6369055
77915,99,21,10,1081,9015,448,7793915.8
91804,5,81,9,8554,1275,930,9182083.9
57295,95,69,2,9771,9634,951,5731510.4
61057,65,77,8,9762,545,369,6114671.8
91626,83,55,5,2684,784,101,9169068.1
29356,96,46,9,1780,393,413,2948071
27134,62,2,7,3718,9140,357,2715604.3
1682,65,79,3,2590,425,659,174918.7
98868,41,67,3,2146,1077,623,9892300.1
23898,62,93,9,8256,4656,136,2399286.6
83110,43,75,10,4108,5663,380,8321631.1
71154,67,53,6,8418,7187,706,7122699.1
90841,48,15,5,3333,149,842,9086177.3
68416,87,48,7,1811,6776,424,6846709
47585,95,5,1,5101,89,639,4759724.3
28452,79,40,10,388,1889,566,2850377.6
15630,78,4,3,7084,4158,225,1565985.6
65900,36,99,5,2637,1038,452,6605894.7
21600,94,56,8,3129,6029,236,2166421
74704,31,22,9,7463,8866,347,7472587.2
87291,78,42,3,6214,3127,596,8739254.7
96687,65,81,4,2438,8183,695,9673884.2
60567,65,100,6,7010,7994,993,6071330.9
4872,41,74,6,5851,1579,473,489455
9157,48,53,10,6401,6536,488,922102.9
65217,26,39,8,1374,3300,804,6531999.9
87346,56,82,9,5792,549,947,8743241
47701,26,46,5,5447,3025,610,4773352.1
14766,50,79,1,8031,383,643,1488265.1
94841,19,75,5,3157,986,585,9498026.8
59318,92,91,8,9413,9619,425,5939275.2
1796,28,4,1,8360,2070,142,180265.7
96526,36,34,2,2131,710,680,9661068
62876,36,9,8,338,8342,740,6288117.6
59558,43,89,3,9174,4094,712,5967916.2
97008,89,4,5,8321,5231,369,9703551.4
66746,6,10,3,1567,9732,378,6678869.7
25776,36,93,9,688,5948,954,2582235.2
96195,97,64,4,3874,9414,892,9626665.8
4805,47,99,5,2788,4069,839,486824.5
23045,21,75,5,651,4309,607,2312202
95441,70,65,10,2841,3067,404,9554998.7
28381,34,64,2,6737,1660,502,2847241.9
15731,34,37,2,7361,4828,277,1582940.3
18966,58,25,4,2327,7431,823,1902151.9
24393,46,16,8,4080,4764,619,2449464.9
53339,67,11,1,368,8180,312,5335546.3
44053,17,55,3,6586,382,258,4413295.4
70898,98,92,1,4848,784,942,7091863.4
84483,41,85,3,6052,369,651,8452134.9
35716,24,52,2,8821,9581,991,3574932.3
64693,64,81,9,7506,6802,687,6471378.3
32593,40,94,9,2261,9719,871,3265750.6
1607,63,52,8,2844,5531,878,173112
39484,74,30,4,3172,2821,172,3954971.1
32458,28,20,3,8462,890,523,3253846.5
72243,64,23,1,4431,8585,752,7229477.4
20624,44,83,2,318,6191,606,2070369.6
7443,38,41,8,3249,4423,503,748338.5
78382,41,14,1,8751,7515,985,7840062
70614,15,100,5,4845,8727,991,7075926
32235,59,10,6,7388,828,488,3225143.6
2523,12,67,10,150,473,949,260710.5
87864,55,77,4,7834,7083,745,8790481.9
18316,97,3,5,5804,2070,846,1832673.1
94471,30,79,1,1327,6342,285,9454072.1
60704,96,29,10,4505,9766,847,6080655.4
54020,4,64,3,8767,4062,882,5406334.3
59612,37,56,7,5616,5474,914,5967739.7
56467,63,41,2,2743,5018,815,5649094
65625,55,36,10,774,1091,958,6567597.5
41570,76,98,4,3573,3494,486,4167932.4
44862,99,68,5,9383,3076,631,4493882.2
47212,37,81,4,7210,5160,159,4734236.1
2840,17,26,4,6848,5362,294,288797.4
40465,85,100,9,6327,1053,403,4052600.4
17191,80,29,5,3192,2786,716,1728829.5
56480,85,80,3,8211,9476,532,5653048.6
70503,78,29,6,6819,4897,948,7051701.1
4885,100,54,8,9519,8043,718,493693.3
58263,65,57,10,7942,6968,786,5840294.6
47647,52,6,2,3220,9457,171,4768169.2
57916,51,24,1,3831,5615,356,5792783.8
6396,71,40,6,413,3302,682,643620.5
41972,18,49,7,842,820,846,4206464.5
94311,11,47,1,3619,128,868,9439790.7
10714,41,98,6,2598,1190,631,1075982.6
11259,26,82,4,902,3876,125,1134964
3534,16,13,1,5811,6473,900,359850.3
52680,10,79,4,5687,2005,242,5274696.1
62711,60,29,10,4484,5437,329,6272944.7
19268,12,77,5,1133,5202,357,1938014
36119,39,46,4,3958,3737,889,3620813.9
28394,53,7,8,63,8840,328,2840816.3
20392,33,84,5,1256,7011,171,2046763.7
7259,25,39,4,6482,2430,537,735079.4
28183,81,52,2,2798,5783,525,2821593.3
92188,14,95,2,61,7526,693,9227140.6
29815,28,77,7,3530,2821,663,2989048.5
50219,96,54,6,8051,8796,965,5025975.3
1722,56,84,8,6240,8680,497,182838.2
70399,14,85,5,8009,9856,255,7048784.3
28790,52,15,6,1238,5370,218,2883447.1
92962,7,37,1,6581,1046,315,9304587
34245,2,85,4,251,3567,918,3430728
54677,64,94,10,1236,3643,537,5477618.6
74227,84,5,7,4609,7857,378,7427853
94939,46,48,10,9164,9600,351,9503765.9
48884,58,32,7,311,1098,729,4895277
10638,39,33,4,3142,3829,138,1066200.6
90315,61,91,7,5604,3492,490,9044477.4
17633,28,83,2,1644,8999,162,1767487.3
63242,45,18,10,6932,5206,340,6327623.7
79344,46,42,3,8088,4938,744,7945562.1
72093,48,92,1,4805,7,148,7223902.5
13378,59,9,1,8171,5848,488,1342476.1
47019,35,9,4,2005,1643,694,4706162
34666,75,14,2,9405,9154,186,3477313.2
93509,28,62,2,72,9223,731,9361261.2
13583,42,32,2,4519,3442,911,1364589.5
19649,11,83,4,595,6282,795,1970018.9
141,16,58,4,3411,8985,213,22670.7
22821,64,14,8,2060,103,491,2289134.3
533,76,55,8,654,3585,301,65465.1
67020,71,38,7,3647,997,640,6711051.5
49094,30,49,2,4934,3570,625,4916616.1
25269,88,92,7,3464,5175,693,2530193.9
71989,41,77,3,7290,4027,337,7204744.3
73180,1,54,7,3340,452,784,7325717.1
18926,58,84,4,5353,4021,442,1908217.8
6492,76,88,3,2655,6299,372,652565.8
98045,4,8,5,9321,2416,570,9814193.2
51589,83,43,10,7867,7522,819,5167451.8
24390,75,44,9,7295,6840,235,2446317.2
75890,10,59,5,270,3676,744,7597786.1
29220,9,59,6,391,8842,706,2929116.4
72433,57,18,7,6995,8567,276,7250644.1
57467,98,64,3,661,9428,600,5749361.3
81482,76,9,7,2265,3606,281,8153070.7
61346,69,52,10,7427,5864,207,6141452.9
80915,23,67,6,5351,1864,569,8104297.2
65479,74,35,5,9347,1817,460,6552454
48302,22,13,9,9855,6297,543,4833604.7
76690,21,99,1,611,2112,181,7682267
14447,39,23,8,5371,9535,965,1448447.2
24213,31,93,7,1561,1228,653,2431969.4
1843,30,3,7,1313,9063,706,189919.7
78183,65,86,9,8682,588,748,7829898.7
99323,35,28,7,6346,6556,280,9939399.8
67491,21,57,7,1253,1592,254,6750826.7
2588,82,69,5,7247,9670,987,267798.6
76635,6,1,5,981,5857,949,7669791.9
45070,100,92,9,1333,989,885,4510977.7
62381,58,44,4,1809,2821,734,6243323.3
98543,2,44,3,2955,6151,661,9860222.2
13972,39,8,2,1477,3153,952,1397748.9
71567,70,94,8,5968,1718,985,7166917.2
36804,99,12,8,6951,6584,594,3681839.6
21297,71,14,3,8198,4951,111,2136801.5
9950,1,69,10,3156,6914,174,1000736.2
3661,50,24,8,6186,862,613,372556.7
88102,51,70,3,7245,6073,496,8821018.6
72596,91,90,6,9595,1266,156,7262781.5
70763,4,38,4,7098,5958,484,7082373.5
12002,58,41,8,1718,3877,867,1203664.5
26146,34,98,9,2060,7566,680,2627462.1
13716,62,98,8,5967,1070,911,1382883
23281,32,52,10,3681,3220,422,2339782
3824,45,9,6,3191,6677,305,386574.9
56086,3,46,2,2853,1194,863,5615576.1
19014,67,89,2,3330,8941,550,1912984.9
80808,59,1,5,3879,8229,434,8085990.4
83602,5,2,7,8993,8003,496,8365162.1
99767,27,79,8,520,7948,495,9985836.8
60675,32,51,7,5953,6958,260,6075733.2
20210,2,78,8,2811,9309,218,2029228.7
28694,82,20,3,3206,2352,310,2870499.1
45521,53,32,9,8643,2999,670,4554205.1
55727,46,77,5,5811,42,183,5574845.6
17307,20,66,8,2317,5409,692,1740869.6
86474,98,33,6,1928,4232,220,8649993.4
6012,53,38,7,392,2928,423,607323.3
6617,51,38,4,7115,5340,248,663333
34061,43,90,1,1616,6765,534,3407529.3
12881,12,68,5,8654,5066,920,1293712.6
48458,82,72,6,5447,7360,308,4851198.2
89618,49,36,6,4321,9355,752,8969519.6
10369,30,68,10,9629,7874,383,1044857.9
21865,24,79,5,2324,4385,932,2191960.3
30817,48,63,3,2444,9730,961,3086005.3
8808,85,37,10,9287,4979,416,888730.8
16006,69,26,10,3565,742,405,1610901
70517,37,1,6,9373,6035,184,7052408.2
55592,68,10,6,7719,4694,372,5564877.1
10978,17,55,9,9798,2127,481,1103882.5
94388,7,81,8,7739,1176,741,9446167.6
18041,90,99,8,1064,653,221,1817658.6
18220,91,97,4,2604,5842,838,1833031.3
39342,7,84,7,1003,2398,385,3946165.4
66570,59,2,10,2628,7837,754,6657976.8
34592,100,33,7,7356,2228,264,3465076.4
38700,25,26,7,5100,5564,956,3880396.6
32060,25,97,9,9618,9072,814,3211741.7
8305,86,83,9,1648,3165,766,838488.1
40080,50,82,8,5973,2871,484,4011225.8
89335,66,54,2,9808,4039,425,8938823.4
78546,92,84,6,978,3244,530,7864949.1
50066,63,67,5,8716,6542,465,5015729.8
37008,61,75,3,309,5249,463,3708694.3
32876,98,32,9,3289,8595,121,3299047.8
98266,14,42,10,6293,8164,1000,9838529
53665,66,81,3,1788,6553,204,5379979.2
33469,98,91,7,6871,4561,293,3362757.6
42578,49,23,8,6690,3789,964,4264812.3
64329,25,44,5,7313,2455,634,6436473.9
29512,96,26,8,6556,9398,170,2955396.2
241,78,50,6,4070,7336,962,29643.3
32709,47,80,3,2548,2351,162,3284181.6
29271,70,98,3,3470,5717,429,2938810.1
15542,19,27,7,563,6368,615,1556824.6
94951,52,80,4,4121,3981,261,9498811.4
12296,54,45,10,1449,8183,127,1233872.8
42390,17,96,1,7796,7032,462,4245306.1
2157,22,93,4,5209,2362,799,222104.1
70576,66,7,7,6411,6596,684,7061024.3
22232,24,52,9,135,1819,882,2230267.5
31368,78,86,5,6510,4644,682,3142605.7
2713,76,19,5,3827,3127,880,273858
40939,60,6,7,9386,4038,956,4097363.7
84892,59,46,10,271,6059,556,8492982.7
43332,60,24,5,9557,9617,321,4336691.2
39445,100,66,5,1391,4942,992,3947777
82032,78,64,10,6972,9105,883,8209534.4
813,45,15,2,4226,1272,633,84647.8
43432,44,34,4,2077,3329,377,4347238
80988,34,57,10,8135,7450,321,8104253.5
99444,68,60,4,5643,4783,834,9947284.1
37618,57,45,3,3892,7379,638,3766350.8
63973,18,78,10,6770,339,937,6405935.2
99107,54,65,4,5522,7622,194,9916550.8
71519,12,80,8,9982,6232,800,7156303.2
91841,77,14,2,8782,3254,955,9185367.1
28467,98,70,6,4314,9569,658,2855561.9
77075,52,11,10,1768,9928,430,7713855.2
91776,26,72,1,1303,4952,712,9184100.1
69948,45,59,3,5632,6000,301,7006951.7
68593,3,65,3,5603,9225,540,6867934.1
56774,50,23,4,5989,186,469,5682955.5
84577,63,64,7,9411,4095,400,8467175.1
78835,77,84,6,1071,6437,771,7887862.2
59073,82,38,5,8036,9658,303,5909662.3
6704,83,59,10,7171,3023,822,682123.2
20968,48,6,6,3747,1117,656,2100783.2
64244,20,82,9,5461,798,426,6435074.1
54133,1,89,3,2192,4801,195,5426671.3
90842,60,25,6,3501,8720,152,9092168.5
51780,83,88,8,540,4699,879,5184160.1
38722,91,22,5,4316,6127,738,3876450.8
51127,85,66,2,391,4578,127,5119947.6
31802,100,80,3,3049,6665,476,3184469
26770,8,69,8,6924,6367,940,2687139.6
63839,58,2,6,6200,882,302,6389327.9
56181,76,98,4,4581,8060,953,5630006.6
91757,82,78,4,5258,1106,628,9182239.2
54200,51,43,5,9853,858,869,5423195
29788,61,68,3,6551,5740,782,2983377.1
29180,7,1,8,3218,2990,753,2923248.9
30630,62,65,5,2190,295,965,3072463.6
81114,23,89,2,1629,8207,813,8118084.7
96016,48,35,4,269,1613,300,9605401.8
8977,53,62,3,5865,7112,250,905963.4
92508,60,88,7,1551,4343,271,9257332.6
38804,18,45,2,5441,2726,925,3885083
34830,92,85,4,3930,3923,833,3488181.3
48540,42,27,5,5751,8410,489,4856286.6
25680,51,11,8,8681,5729,829,2573981.9
73224,66,74,3,7771,4695,941,7330502.1
29589,45,76,1,3703,2398,130,2973362.6
96469,21,13,9,7532,2509,416,9651382.4
35039,19,22,2,2052,9163,979,3511457.4
99592,47,61,5,9635,3509,360,9963329.7
70433,41,1,8,3499,6731,160,7045037.8
73644,18,7,4,4485,5615,345,7365392.8
77211,47,84,9,5620,7860,554,7725844.6
36429,8,29,7,9275,4841,152,3651244.9
90334,44,6,1,2390,828,413,9037622
51993,59,33,10,7531,6585,891,5208507.3
44476,27,13,10,9906,3023,101,4450503.3
31661,52,18,5,7968,5941,249,3168722
68275,93,54,6,3586,6606,104,6833270
85429,60,57,6,1421,6473,405,8553293.6
90162,71,27,4,2569,2826,909,9023922.2
81619,82,70,5,1562,6165,478,8173020.4
65324,7,8,6,9016,2528,549,6538401.9
4368,85,29,8,4055,1482,713,443641.1
24525,35,73,8,154,530,445,2461959.9
20949,5,22,8,3137,6117,747,2102983.3
23609,14,68,8,6808,1942,468,2364571.7
68084,35,8,3,9896,7245,158,6809686.9
73406,72,75,6,6128,116,915,7351988.7
50638,65,54,5,4071,2714,916,5068736.6
5457,32,12,6,4286,3897,215,547357.2
73337,30,5,3,9487,5697,949,7337758.5
95339,87,15,4,4878,4810,142,9535650.3
63237,8,49,9,6344,7812,197,6330589.9
30831,27,13,10,173,6677,966,3084723.8
57897,21,96,3,3678,5344,910,5801637.3
87418,73,7,1,8759,196,203,8743030.5
20640,17,91,9,5011,9512,736,2073310.5
35634,77,50,4,8120,9651,462,3568972.8
87156,49,44,2,5224,968,798,8722474.9
80556,1,54,6,9757,6059,650,8062244.1
70942,36,28,9,7964,2118,265,7102693.9
38688,76,80,7,5616,6072,155,3877141.2
83937,30,85,8,7175,6014,933,8396191.2
92655,54,77,4,4932,4411,765,9267281.6
35110,28,84,8,9928,699,439,3526172.5
61208,51,39,6,4494,71,112,6126371.1
47781,49,37,8,6426,3436,993,4779776.3
23737,25,11,6,4514,5604,997,2380599.3
83460,34,69,5,3231,1741,841,8347291.7
55736,64,47,5,5234,5172,672,5582770.7
15429,27,46,5,1436,7852,164,1550188.1
74290,38,8,6,6893,6800,624,7433059.6
85256,68,45,1,2638,7455,403,8530096.9
9380,11,97,4,691,8302,754,945451.3
13414,59,16,6,6223,571,477,1350225.4
91716,7,97,5,9715,8665,352,9184104.6
95828,54,62,10,1745,5190,269,9589468.4
98478,7,19,7,3514,3090,867,9852730.7
70874,99,51,7,6049,3511,428,7097321.1
78217,78,73,1,7391,1085,907,7828401.3
81101,65,87,4,5698,1807,233,8118370.7
46883,49,53,2,9286,4266,845,4691844.9
69319,38,89,1,1787,1635,731,6936067.9
95288,45,80,1,3179,1201,520,9543817
50589,75,52,3,3824,8806,185,5061508.8
65155,69,46,4,4546,1801,654,6521547.4
6049,99,37,7,3872,4019,944,608869
25386,30,35,10,5449,3239,343,2543209.1
1270,53,66,8,6093,4476,618,131117.1
88561,37,49,4,4582,9155,726,8860454.4
71676,13,49,7,1318,544,283,7178514.9
82016,15,93,4,839,3501,680,8211272.4
21698,75,59,1,518,7075,331,2179801.1
476,14,52,4,6630,6204,880,57103.9
16114,98,25,2,3474,1546,460,1620468
55707,7,33,7,9279,1236,417,5573001.4
53633,48,43,3,6352,4931,774,5370339
29578,2,5,4,9253,949,489,2959100.3
51757,95,23,6,9496,8665,943,5178222.9
80386,41,4,10,9196,7861,521,8045146.4
60136,32,54,3,8341,4965,152,6020434.5
15850,99,96,3,5326,8976,501,1596900
29362,2,44,1,1979,5794,424,2940727
60366,51,26,9,8647,6470,687,6042370.5
9167,32,69,3,6444,8319,219,923577.4
18586,93,16,5,7588,3667,324,1862622.7
69443,27,30,7,7624,1278,294,6947198.3
21015,37,97,6,2865,4679,527,2107213.3
79337,83,70,9,9559,9783,918,7940161.6
84947,54,68,7,1588,6315,675,8498951.4
99665,16,52,9,136,5779,392,9976093
25493,31,97,4,6999,2669,187,2555724.7
50580,57,76,4,1593,7912,678,5072667.8
71040,40,49,3,6467,6178,644,7110801.5
63320,3,3,2,4182,5340,126,6338701.3
50465,68,62,6,3513,3635,401,5051447.4
65919,40,82,4,8500,2426,707,6596228.3
76489,43,27,7,2458,5949,601,7655928.2
50093,89,5,1,6873,7662,536,5013597.9
50118,80,76,1,7483,8194,687,5016630.8
25309,28,53,6,923,821,358,2535294.2
98191,17,77,5,6782,4950,660,9828436
1607,10,46,6,8175,3264,923,167249.4
4410,37,37,5,9410,5772,326,444238.4
2374,41,85,3,6959,1546,804,249562.8
94990,23,47,2,2531,8669,725,9504433.8
18281,9,76,3,9815,140,343,1840231.6
64879,80,12,4,5685,6810,914,6491104.1
54812,88,27,7,8509,8693,823,5482093
605,29,66,2,2938,7209,656,71250.5
27253,19,81,5,9476,7523,464,2736783
17357,42,20,5,5688,9409,221,1738079.8
54097,26,98,9,6986,8792,181,5416865.6
95281,22,8,10,5252,4489,537,9533000
69440,90,76,9,3678,1227,520,6950509.4
44395,1,1,5,8789,9504,685,4443692.2
48270,60,85,10,6828,3382,935,4838349
30572,24,56,9,171,2208,401,3058110.8
63719,35,25,1,2342,121,794,6375632.2
